Lietuvos Respublikos kelių transporto priemonių registre pirmą kartą įregistruotų M1 klasės transporto priemonių skaičius pagal degalų rūšį;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;METAI;MĖNUO;;;;;;;;;;
;;2018;;;;;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;01;02;03;04;05;06;07;08;09;10;11;12
Naudota;Benzinas;2360;2296;3083;3217;3687;3676;3442;3901;3606;4106;3392;2580
Naudota;Benzinas / Dujos;235;199;298;270;320;305;303;309;273;352;313;200
Naudota;Benzinas / Elektra;193;188;207;251;283;290;291;346;290;365;355;261
Naudota;Benzinas / Etanolis_Dujos;;;;;;;;;1;;;
Naudota;Dyzelinas;8153;7772;10547;10836;12292;11639;11221;11866;10940;12197;9673;7509
Naudota;Dyzelinas / Dujos;;;1;;;;;;;;;
Naudota;Dyzelinas / Elektra;2;5;3;5;7;7;16;17;8;7;12;14
Naudota;Dujos;6;3;1;6;3;2;6;3;4;5;6;2
Naudota;Elektra;24;13;28;31;27;21;19;20;25;27;18;20
Naudota;Kita;11;9;9;6;7;9;12;10;11;6;5;10
Nauja;Benzinas;1170;966;1908;2068;2139;2185;1963;2475;1532;1817;1931;1770
Nauja;Benzinas / Dujos;1;1;;;1;;;1;1;;9;
Nauja;Benzinas / Elektra;160;110;173;183;236;258;250;195;283;215;178;101
Nauja;Dyzelinas;758;499;650;850;745;746;536;603;434;720;664;551
Nauja;Dyzelinas / Elektra;;1;1;1;3;1;4;8;3;28;26;14
Nauja;Dujos;;;1;;;;;;;;;
Nauja;Elektra;11;15;15;9;4;10;3;10;8;26;19;13
Nauja;Kita;;;1;;;1;;;;;;
