Lietuvos Respublikos kelių transporto priemonių registre pirmą kartą įregistruotų M1 klasės transporto priemonių skaičius pagal degalų rūšį;;;;;;;;;;;;;
;;;;;;;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;MĖNUO;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12
Naudota;Dyzelinas                ;10239;9718;9771;11389;11314;10091;11830;11236;9879;12326;11078;10635
Naudota;Dyzelinas / Elektra      ;16;11;22;22;22;8;13;18;19;25;24;19
Naudota;Benzinas / Elektra       ;301;291;286;372;359;334;410;374;420;443;412;329
Naudota;Benzinas                 ;3290;3290;3545;4105;4240;3969;4653;4774;4506;5608;4919;4804
Naudota;Elektra                  ;10;19;11;27;30;23;29;39;31;40;56;52
Naudota;Benzinas / Dujos         ;309;262;278;265;315;293;386;342;336;418;401;353
Naudota;Benzinas / Elektra_Dujos ;23;27;19;11;19;18;23;21;31;32;26;20
Naudota;Dujos                    ;5;10;10;4;11;7;10;11;12;11;13;13
Naudota;Kita;14;19;22;14;20;22;34;11;30;32;34;23
Nauja  ;Dyzelinas                ;816;641;638;648;708;628;822;795;619;716;731;467
Nauja  ;Dyzelinas / Elektra      ;18;12;18;15;12;12;33;22;16;25;15;26
Nauja  ;Benzinas / Elektra       ;140;158;182;334;325;251;243;254;204;397;330;313
Nauja  ;Benzinas                 ;2145;2286;3101;3420;3163;3616;2408;2571;3124;2924;3220;2455
Nauja  ;Elektra                  ;17;10;17;16;5;9;15;21;10;13;24;5
Nauja  ;Benzinas / Dujos         ;;;1;1;2;3;1;1;;;;
Nauja  ;Kita;;;;;;;1;;;;;1
