Lietuvos Respublikos kelių transporto priemonių registre pirmą kartą įregistruotų M1 klasės transporto priemonių skaičius pagal degalų rūšį 2020 m.;;;;;;;;;;;;;
;;;;;;;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;MĖNUO;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12
Naudota;Dyzelinas;9407;10137;4675;4231;6514;11517;7682;7883;8593;9096;6985;6327
Naudota;Elektra;46;44;27;39;48;55;72;71;75;98;79;77
Naudota;Benzinas;4420;4744;2413;1909;2827;4636;3502;3357;3576;3525;2639;2282
Naudota;Benzinas / Dujos;320;364;161;127;182;286;196;201;242;261;189;173
Naudota;Dujos;20;30;9;2;2;8;;5;4;3;3;5
Naudota;Dyzelinas / Elektra;22;27;14;17;14;26;36;36;37;28;27;28
Naudota;Benzinas / Elektra;395;372;170;211;267;383;416;394;475;426;331;302
Naudota;Benzinas / Elektra / Dujos;16;31;9;8;10;22;22;22;32;38;13;13
;Kita;26;47;30;30;34;27;40;30;30;27;25;
Nauja;Dyzelinas;619;511;356;239;282;425;557;504;708;358;806;1581
Nauja;Elektra;21;20;46;11;22;41;61;54;52;38;43;44
Nauja;Benzinas;3081;3442;1547;901;1479;1858;1962;1627;1689;2031;2769;2067
Nauja;Benzinas / Dujos;;1;1;1;2;3;10;6;6;16;17;18
Nauja;Dyzelinas / Elektra;27;21;20;13;14;20;22;18;35;50;57;46
Nauja;Benzinas / Elektra;490;259;266;213;240;325;748;1188;2192;927;613;489
