Pirmą kartą įregistruotų Lietuvoje M1 klasės transporto priemonių skaičius pagal degalų rūšį 2021 m. sausio-gruodžio mėn.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;MĖNUO;;;;;;;;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;
Naudota;Benzinas;1730;2004;2826;3325;2498;2971;3221;3368;3303;3149;2810;2896;;;;;;;
Naudota;Benzinas / Dujos;131;148;177;208;147;181;180;209;235;171;129;112;;;;;;;
Naudota;Benzinas / Elektra;259;304;387;529;432;532;600;589;601;669;505;585;;;;;;;
Naudota;Benzinas / Elektra / Dujos;12;13;17;22;27;21;32;24;21;26;22;13;;;;;;;
Naudota;Benzinas/Suskystintos naftos dujos;;;;;;;;;;40;37;51;;;;;;;
Naudota;Dyzelinas;5167;5790;7801;9821;7636;8924;9413;8873;8737;8606;7258;7342;;;;;;;
Naudota;Dyzelinas / Elektra;27;24;33;57;40;46;56;42;43;48;51;57;;;;;;;
Naudota;Elektra;99;25;29;62;109;98;135;143;154;188;149;156;;;;;;;
Naudota;Kita;26;25;39;44;34;40;41;34;47;177;162;158;;;;;;;
Nauja;Benzinas;1257;690;1201;1537;1564;1453;1562;1168;928;655;773;690;;;;;;;
Nauja;Benzinas / Dujos;17;16;13;23;14;39;50;27;17;10;34;38;;;;;;;
Nauja;Benzinas / Elektra;635;1162;1383;1408;1659;1422;1142;646;680;428;494;497;;;;;;;
Nauja;Kita;;;;;;;4;2;;;;3;;;;;;;
Nauja;Benzinas/Suskystintos naftos dujos;;;;;;;;;;;2;3;;;;;;;
Nauja;Dyzelinas;295;278;377;479;513;406;323;362;225;247;250;227;;;;;;;
Nauja;Dyzelinas / Elektra;62;75;74;81;84;83;96;81;59;56;72;41;;;;;;;
Nauja;Elektra;36;12;17;75;99;71;75;85;113;152;136;284;;;;;;;
