Pirmą kartą įregistruotų Lietuvoje M1 klasės transporto priemonių skaičius pagal degalų rūšį 2023 m. sausio-birželio mėn.;;;;;;;;
;;;;;;;;
SAVYBĖ;DEGALŲ RŪŠIS;MĖNUO;;;;;;IŠ VISO
;;1;2;3;4;5;6;
Naudota;Benzinas;2271;2387;2689;2734;2892;2738;15711
;Benzinas/Dujos;82;94;97;84;88;88;533
;Benzinas/Dujos/Elektra;23;22;30;14;17;16;122
;Benzinas/Elektra;469;527;574;621;677;644;3512
;Benzinas/Etanolis;10;11;12;16;14;20;83
;Benzinas/Gamtinės dujos;5;5;4;8;5;1;28
;Benzinas/Suskystintos naftos dujos;48;54;67;58;61;64;352
;Benzinas/Suskystintos naftos dujos/Elektra;12;9;8;12;10;12;63
;Benzinas/Suslėgtos gamtinės dujos;1;6;6;4;5;11;33
;Dyzelinas;6699;6755;8273;8105;8268;7955;46055
;Dyzelinas/Elektra;131;131;155;161;156;165;899
;Dujos;1;4;1;2;3;7;18
;Elektra;114;155;171;194;234;283;1151
;Gamtinės dujos;4;1;6;7;5;7;30
;Nenurodyta;621;661;784;586;734;666;4052
;Benzinas/Etanolis/Dujos;;1;3;1;;1;6
;Benzinas/Suskystintos gamtinės dujos;;4;1;1;2;1;9
;Etanolis;;2;;;;1;3
;Suskystintos gamtinės dujos;;3;1;1;;;5
;Suslėgtos gamtinės dujos;;2;2;1;1;4;10
;Benzinas/Etanolis/Suskystintos naftos dujos;;;1;1;;2;4
;Suskystintos naftos dujos;;;1;1;;;2
;Benzinas/Biometanas;;;;1;1;;2
;Etanolis/Elektra;;;;;;1;1
Naudota viso;;10491;10834;12886;12613;13173;12687;72684
Nauja;Benzinas;707;995;1047;976;984;1039;5748
;Benzinas/Dujos;12;8;11;7;2;18;58
;Benzinas/Elektra;831;648;840;767;972;1119;5177
;Benzinas/Suskystintos naftos dujos;24;12;49;38;46;22;191
;Dyzelinas;235;178;375;257;343;460;1848
;Dyzelinas/Elektra;96;68;81;88;111;203;647
;Elektra;167;100;141;190;219;192;1009
;Benzinas/Suskystintos gamtinės dujos;;;1;;;;1
;Dyzelinas/Dujos;;;;;1;;1
Nauja viso;;2072;2009;2545;2323;2678;3053;14680
IŠ VISO;;12563;12843;15431;14936;15851;15740;87364
